Date,lon,lat,y_pred,y_pred_NN,ps_type,irrigation,time_measured,T2M,T2M_MAX,T2M_MIN,source
2026-06-29,7.17,46.15,-0.1999317929148674,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-29,7.17,46.15,-0.45505900382995607,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-29,15.16565,41.5186,-0.5015285104513169,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-29,15.16565,41.5186,-0.8698359847068786,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-29,15.5415,48.394,-0.29962180405855177,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-29,15.5415,48.394,-0.5798435807228088,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-29,25.396526,36.471011,-0.6014537811279297,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-29,25.396526,36.471011,-1.1385017871856689,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-121.12,38.29,-0.5848229050636291,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-121.12,38.29,-1.1744683146476746,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-119.53,49.11,-0.30499046146869657,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-119.53,49.11,-0.6592055499553681,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-119.5,36.8,-0.7210100173950196,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-119.5,36.8,-1.2043389320373534,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-119.198353,35.097655,-0.7663637101650238,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-119.198353,35.097655,-1.4368150234222412,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-77.01,42.88,-0.15685100331902505,NA,0,0,NA,NA,NA,NA,2015-2025 mean
2026-06-30,-77.01,42.88,-0.5393064916133881,NA,1,0,15,NA,NA,NA,2015-2025 mean
2026-06-30,-8.824167,41.951667,-0.22698916643857955,NA,0,0,NA,NA,NA,NA,2015-2025 mean
